,id,guests,bedrooms,beds,baths,cleaning_fee,service_fee,amenities,superhost,lat_lon,narrative,rules,price
0,38238821,3 guests,1 bedroom,1 bed,2 baths,0,$212,Show all 18 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.649672404335915&2d-74.23008880920821&2m2&1d4.74248621279336&2d-74.07440113050541&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._x80rev&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=56152,"Translate this description to English
Es un apartamento con muy buena distribución y con todo lo necesario Para que su alojamiento sea lo más cómodo y agradable ,con una habitación y su baño privado,en la sala ,un sofácama y dos asientos con sus mesas de reserva y el comedor para tres o cuatro puestos,la cocina con todos sus elementos para preparar todos sus alimentos como si estuvieran en su propia cocina,en cuanto a la limpieza y el orden ,se facilita por la clase de piso y material con que está construido
Read more about the space
Contact host","House rules
Check-in time is 3PM - 12AM (midnight)",$274
1,31941600,4 guests,1 bedroom,1 bed,1 bath,$5,$10,Show all 29 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.593145966796019&2d-74.14607143140142&2m2&1d4.685967039136747&2d-73.99037156812022&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._8y1rws&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=68688,"Lindo apartamento/estudio para 4 personas en un edificio recientemente renovado ubicado en el corazón de CHAPINERO, la zona más emblemática, financiera y central de la capital.
Un distrito seguro con fácil acceso a teatros, transporte público, centros culturales y de conciertos, paseos, museos, restaurantes de clase mundial y ...la lista es verdaderamente interminable! PERFECTO para parejas, familias con ninos y aventureros solitario que quieran descubrir Bogotá desde una lugar central y seguro.
Read more about the space
Contact host","House rules
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Read all rules",$12
2,32079582,6 guests,1 bedroom,2 beds,1 bath,$8,$10,Show all 32 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.596132250831984&2d-74.1489374981129&2m2&1d4.688953162738038&2d-73.99323790394789&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._5xj54j&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=35666,"Lindo apartamento/estudio para 6 personas en un edificio recientemente renovado ubicado en el corazón de CHAPINERO, la zona más emblemática, financiera y central de la capital.
Un distrito seguro con fácil acceso a teatros, transporte público, centros culturales y de conciertos, paseos, museos, restaurantes de clase mundial y ...la lista es verdaderamente interminable! PERFECTO para parejas, familias con ninos y aventureros solitario que quieran descubrir Bogotá desde una lugar central y seguro.
Read more about the space
Contact host","House rules
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Read all rules",$12
3,34259803,5 guests,2 bedrooms,2 beds,1 bath,$9,$21,Show all 34 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.5812402895527224&2d-74.16519002087017&2m2&1d4.674062805223399&2d-74.00948773651936&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._nez5rn&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=86767,"A perfect place to rest after a long day of work or visit. The apartment is idealy located, close to the historical center, at 15 mins by car of the airport, and even closer to Downtown Bogota, at 15 mins walking of the American Embassy and at 300m of Corferias (Bogota's fair center).
Another plus of the apartement is the private 15 hectares park you will enjoy during your stay. It's one of the biggest green sanctuary of the city. Trees, birds, grass etc..., it's something truly unique.
Read more about the space
Contact host","House rules
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Self check-in with building staff
Read all rules",$26
4,10823924,8 guests,4 bedrooms,6 beds,4 baths,$50,$320,Show all 23 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.628842500973496&2d-74.12435562522694&2m2&1d4.72165887712497&2d-73.96866363942445&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._s5fhyg&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=100055,"Urban residences for those who cross continents the way others cross streets. Standing in the heart of Bogotá, next to Parque 93, directly connecting residents to the serene tranquility of private spaces that comfortably exude the feeling of HOME.
RNT. 45115
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in time is 3PM - 8PM and check out by 12PM (noon)
Self check-in with building staff
Read all rules",$405
5,32093937,2 guests,1 bedroom,1 bed,1.5 baths,$6,$20,Show all 33 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.602080958485063&2d-74.13931464739665&2m2&1d4.694901068903434&2d-73.98361639766256&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._2u85na&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=67155,"Translate this description to English
50m2 studio apartment, with an excellent view from the apartment and from the terrace of the building located on the 10th floor. Illuminated. With kitchenette and cooking utensils. Fridge. 2 bathrooms. 2 televisions, very good wifi connection. Gym in the building and private parking and visitors. Located in Chapinero, one of the best areas of Bogotá, 2 blocks from the 2 main roads of transmilenio, seventh race and Caracas. Close to restaurants, the bike path and party sites.
Monoambiente de 50m2, con excelente vista desde el apartamento y desde la terraza del edificio ubicada en el piso 10. Iluminado. Con cocina americana y utensilios para cocinar. Refrigerador. 2 baños. 2 televisores, muy buena conexión wifi. Gimnasio en el edificio y parqueadero privado y de visitantes. Ubicado en Chapinero, una de las mejores zonas de Bogotá, a 2 cuadras de las 2 vías principales de transmilenio, carrera séptima y la caracas. Cerca a restaurantes, la cicloruta y sitios de fiesta.
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in time is flexible and check out by 4PM
Self check-in with building staff
Read all rules",$25
6,23547665,2 guests,1 bedroom,1 bed,1 bath,$9,$22,Show all 14 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.566366390810586&2d-74.14880717091313&2m2&1d4.65919088793526&2d-73.99310156283303&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._yai5b&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=18221,"Enjoy a spectacular view of Bogotá from this cozy and bright studio! Conveniently located in the international sector of Bogotá, our apartment offers everything you need for your visit to the city, including a well-equipped mini kitchen, a handy desk, a clean bathroom, and a double bed.
Read more about the space
Contact host","House rules
Not safe or suitable for infants (under 2 years) and pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 12PM (noon)
Read all rules",$27
7,35130537,3 guests,studio,2 beds,1 bath,$6,$16,Show all 21 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.554472954960514&2d-74.14717903401197&2m2&1d4.647299162458066&2d-73.99147055691935&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._9l9ryl&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=1998,"Translate this description to English
Minimalist atmosphere, natural lighting receive the morning sun. Perfect location 200 meters from the Gold Museum and the Cerro de Monserrate at 1km. Surrounded by access roads to the Historic Center, Plaza de Bolivar, Botero Museum, Colon Theater, Jorge Eliecer Gaitan Theater, District Cinematheque, Restaurants, Government Center, Commerce, Banks, Universities, Luis Angel Arango Library, District Planetarium, easy access to only 25 minutes from ELDORADO International Airport.
Ambiente minimalista, iluminación natural reciba el sol de la mañana. Perfecta ubicación a 200 metros del Museo del Oro y el Cerro de Monserrate a 1km. Rodeado de vías de acceso al Centro Histórico, Plaza de Bolivar, Museo Botero, Teatro Colón, Teatro Jorge Eliecer Gaitan, Cinemateca Distrital, Restaurantes, Centro gubernamental, Comercio, Bancos, Universidades, Biblioteca Luis Angel Arango, Planetario Distrital, fácil acceso a solo 25 minutos del Aeropuerto Internacional ELDORADO.
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Self check-in with keypad
Read all rules",$20
8,37721845,2 guests,1 bedroom,1 bed,1 bath,$12,$10,Show all 10 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.590166950031593&2d-74.14032866910128&2m2&1d4.682988329973523&2d-73.98462828984384&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._u7kzsd&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=111111,"Translate this description to English
Great deal! Tiny, cozy apartment in Bogota's best location. Located in the young, vibrant Chapinero Alto. Close to everything, with all the transportation available at walking distance in a safe enviroment. Variety of restaurants, cafes, shops and entretainment. Everything you need willl be around the corner. The apartment has everything you expect to enjoy Bogotá at the best comfort and price. Laundry, to wash and dry: full equiped kitchen, great light and all the privacy you need.
Great deal! Tiny, cozy apartment in Bogota's best location. Located in the young, vibrant Chapinero Alto. Close to everything, with all the transportation available at walking distance in a safe enviroment. Variety of restaurants, cafes, shops and entretainment. Everything you need willl be around the corner. The apartment has everything you expect to enjoy Bogotá at the best comfort and price. Laundry, to wash and dry: full equiped kitchen, great light and all the privacy you need.
Read more about the space
Contact host","House rules
Not suitable for children and infants
No smoking, parties, or events
Check-in time is 1PM - 3PM and check out by 12PM (noon)
Read all rules",$12
9,33166927,6 guests,3 bedrooms,3 beds,3.5 baths,$100,$206,Show all 15 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.622890818528805&2d-74.11895221028533&2m2&1d4.715707926931909&2d-73.96325899618978&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._hdau2o&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=121310,"One of the best locations in bogota.
1st floor: living room, dining room, kitchen, laundry, social bath.
2nd floor: 3 bedrooms each one with private bathroom.
This elegant apartment has a beautiful garden, private gym and 2 covered terrace with kitchen, bbq, stone oven, teppanyaki and bar.
Contact host","House rules
No pets
No parties or events
Check-in time is flexible and check out by 12PM (noon)",$250
