,id,guests,bedrooms,beds,baths,cleaning_fee,service_fee,amenities,superhost,lat_lon,narrative,rules,price
0,5262658,2 guests,1 bedroom,1 bed,1 bath,$52,$69,Show all 13 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.69691496912552&2d139.5542348304566&2m2&1d35.772507862358864&2d139.71029757777706&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._5lat0&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=122073,"It takes 5 min walk to Fujimidai Sta.. You can get on SeibIkebukuro Line, Subway Yuurakucho Line and Subway Fukutoshin Line. Ikebukuro 15 min, Ginza, Shinjuku and Shibuya within 30 min without having to transfer.
Read more about the space
Contact host","House rules
Not safe or suitable for infants (under 2 years) and pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 10AM
Read all rules",$80
1,14677019,7 guests,1 bedroom,7 beds,1 bath,$9,$28,Show all 27 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d36.28108569048549&2d140.49389930834946&2m2&1d36.356121627266134&2d140.6488122100901&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._da0ylk&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=59518,"Our house was renovated recently. 13 - 15 mins to Oarai station by walk. We also have several
bicycles for visitors. You can use them for free.
Since we don't live in this house currently, you can use entire home, and all rooms in the house. Please ask us about the price and room available, if you are interested.
Also please let me know if you need other amenities / services which were
not listed, we would like to meet your request. Thank you!
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in time is flexible and check out by 10AM
Self check-in with keypad
Read all rules",$35
2,16186430,4 guests,2 bedrooms,4 beds,1 bath,$19,$39,Show all 19 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.26436244582997&2d138.85097549235445&2m2&1d35.34036322696322&2d139.00788033082313&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._4bf1mg&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=95190,"Translate this description to English
･it's 10min by walk from gotemba station. ･super market, Central Park is close ･you can see Mt,Fuji from near my house. ･you can get bus which go to Mt fuji , hakone and gotemba premium outlet. it's really convince place!!
･it's 10min by walk from gotemba station.
･super market, Central Park is close
･you can see Mt,Fuji from near my house.
･you can get bus which go to Mt fuji , hakone and gotemba premium outlet. it's really convince place!!
Read more about the space
Contact host","House rules
No pets
No parties or events
Check-in time is 12PM (noon) - 5PM and check out by 11AM
Read all rules",$48
3,6390627,6 guests,3 bedrooms,6 beds,1 bath,$9,$49,Show all 26 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.28856123432224&2d139.4067283266436&2m2&1d35.36454021739378&2d139.56113722772443&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._bf41bz&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=24760,"The second floor (100 square meters) of the duplex house.The host family lives in the first floor, but the privacy is offered because it is complete separation.The bedroom is Japanese-style room +Singlsemi-double bed room.
【Consecutive stay service】
Service to the guest of the consecutive stay.
Training room one hour free of charge.
Table tennis, karaoke, Wii, communication satellite broadcasting, training apparatus.
It is free for less than one hour.
((The addition is 1,000 yen for one hour)
Read more about the space
Contact host","House rules
No smoking
No pets
Check-in time is 3PM - 10PM and check out by 11AM
Read all rules",$62
4,26171271,6 guests,3 bedrooms,1 bed,1 bath,$5,$52,Show all 25 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.10378308109139&2d139.54797799073185&2m2&1d35.17993544466829&2d139.70273924574303&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._dnu3yq&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=47141,"Translate this description to English
Dr. Kitahara Hakuaki, who looks at Tokyo Bay, Boso Peninsula, and Sagami Bay, lives in the rain. There are many sightseeing spots to enjoy in Miura, such as hiking at Johigashima, playing at Aburatsuma Marine Park, enjoying nature in Koiwashiro Forest, and eating delicious fish at Misaki Port. -Introduction of lodging- It is in a very quiet place. It is a rustic hotel with a limited number of one day. There are three rooms on the second floor, all for guests. Forget your everyday life and spend a relaxing moment in a calm atmosphere. We are looking forward to seeing you at Miura Misaki, a tuna town. -Cruising- As a service for hotel guests, the tourist boat Nishidamaru (with a capacity of 5 people) will guide you to Jogashima and Misaki Port. Please enjoy the view of Miura Peninsula from the sea. Operating time Approx. 1 hour fee Adult 1,000 yen Child 500 yen In addition, it may not be able to operate due to weather conditions. Please note.
東京湾･房総半島･相模湾を望む､北原白秋先生が詠む､雨はふるふる城ｹ島の磯に利休ねずみに雨がふる..........｡
城ｹ島でﾊｲｷﾝｸﾞ･油壷ﾏﾘﾝﾊﾟｰｸで遊ぶ･小網代の森で自然を満喫･三崎港で美味しい魚を食べるなどなど､三浦には楽しめる観光ｽﾎﾟｯﾄが満載です｡
- 宿のご紹介 -
とても静かな場所にあります｡
1日1組限定で素朴な宿です｡2階に3つの部屋があり､すべてｹﾞｽﾄ用です｡
日常を忘れ､落ち着いた雰囲気の中ゆったりとした癒しのひとときをお過ごしください｡
ﾏｸﾞﾛの町三浦三崎で､あなたをお待ちしております｡
Read more about the space
Contact host","House rules
No pets
No parties or events
Check-in is anytime after 3PM and check out by 10AM
Read all rules",$67
5,23032968,14 guests,2 bedrooms,3 beds,1 bath,$56,$68,Show all 27 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d34.79517985637536&2d138.92674001049136&2m2&1d34.87162026283469&2d139.0820866429733&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._sg3ul6&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=116577,"A log house where you can enjoy a fireplace and a starry sky. Because it is in the nature rich villa ground, there is a high possibility of meeting deer and rabbits. In the evening, watching the starry sky and the sea while warming up in the fireplace, slow life Please spend it. In the room ·Kitchen tools ·Washing machine ·refrigerator ·Hairdryer · TV Amenity is also substantial! Please come and stay with us family and friends ☆
A log house where you can enjoy a fireplace and a starry sky.
Because it is in the nature rich villa ground, there is a high possibility of meeting deer and rabbits.
Read more about the space
Contact host","House rules
No smoking
No pets
Check-in time is 3PM - 10PM and check out by 10AM
Self check-in with lockbox
Read all rules",$78
6,37723329,2 guests,1 bedroom,1 bed,1 bath,$28,$54,Show all 21 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.666941211758484&2d139.6209137716296&2m2&1d35.742563616352186&2d139.7770374456295&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._f7gqke&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=39498,"We open new Japanese styles TATAMI rooms.
Our house is located in Center of Tokyo and it has a great access to all different parts of Tokyo. The nearest subway is just 2 minutes by walk. There are a lot of restaurants, convenience stores and even shopping malls.
This is entire rented house included private bathroom and kitchen.
Besides, portable wifi and TV are provided in your private room.
Please feel free to contact us and visit our house~!
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM",$66
7,36643719,2 guests,1 bedroom,1 bed,1.5 baths,$66,$70,Show all 17 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.693817322658205&2d139.644104335909&2m2&1d35.769413984337675&2d139.79773626125757&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._7qmwx5&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=42005,"It is only a 5-minute walk from the nearest station [East Subway Ikebukuro Station]!
The room is located in a residential area in the center of Ikebukuro! There is no noise around here, it is very suitable for rest at night!
At the same time, it is close to the bustling commercial main street [Ikebukuro Sunshine Avenue] and the shopping center, just 3-5 minutes walk!

Looking forward to your arrival!
* Free WiFi provided in the room!!
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 10AM
Read all rules",$79
8,29575431,2 guests,1 bedroom,1 bed,1 bath,$28,$54,Show all 20 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.66526673751898&2d139.61902949305227&2m2&1d35.740890764117&2d139.77515651570616&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._hnno4o&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=54453,"We open new Japanese styles TATAMI rooms.
Our house is located in Center of Tokyo and it has a great access to all different parts of Tokyo. The nearest subway is just 2 minutes by walk. There are a lot of restaurants, convenience stores and even shopping malls.
This is entire rented house included private bathroom and kitchen.
Besides, portable wifi and TV are provided in your private room.
Please feel free to contact us and visit our house~!
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Self check-in with smart lock
Read all rules",$66
9,30102546,2 guests,studio,1 bed,1 bath,$61,$66,Show all 17 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.61963865742673&2d139.6154122912459&2m2&1d35.695305675749225&2d139.77162807100854&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._gldjf8&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=18383,"5 minutes walking distance to Shibuya Station
Studio Type can accommodate up to 2 people.A comfortable and clean.
You can access to any entertainment place in Shibuya Central, Shinjuku and Tokyo area.
The entire room has a basic kitchen utensil, Ideal for a couple. Available for a long stay,
comes with 1 semi-double size Sofa-bed in the room, make comfort for your stay, 3~5 mins access to Restaurants, the room is located on 5th floor,Very cozy and clean w/o a LIFT very accessible to any point.
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in time is 4PM - 12AM (midnight) and check out by 11AM
Read all rules",$75
